,confidence,subject,block,block_difficulty,block_value_level,block_stimulus_type,block_ntrials_phase1,block_ntrials_phase2,trial_difficulty,trial_value_chosen,trial_number
12,5,0,0,3,23,0,12,15,3,26,0.0
13,8,0,0,3,23,0,12,15,6,29,1.0
14,4,0,0,3,23,0,12,15,3,26,2.0
15,6,0,0,3,23,0,12,15,6,29,3.0
16,0,0,0,3,23,0,12,15,3,23,4.0
17,5,0,0,3,23,0,12,15,6,29,5.0
18,0,0,0,3,23,0,12,15,3,23,6.0
19,4,0,0,3,23,0,12,15,3,29,7.0
20,3,0,0,3,23,0,12,15,6,29,8.0
21,3,0,0,3,23,0,12,15,6,29,9.0
22,0,0,0,3,23,0,12,15,6,20,10.0
23,0,0,0,3,23,0,12,15,6,20,11.0
24,4,0,0,3,23,0,12,15,3,26,12.0
25,0,0,0,3,23,0,12,15,3,23,13.0
26,3,0,0,3,23,0,12,15,6,26,14.0
61,8,0,1,6,28,1,9,5,6,40,0.0
63,8,0,1,6,28,1,9,5,6,34,2.0
64,6,0,1,6,28,1,9,5,6,28,3.0
65,10,0,1,6,28,1,9,5,18,40,4.0
109,7,0,2,6,18,1,15,5,18,30,0.0
110,2,0,2,6,18,1,15,5,6,30,1.0
111,8,0,2,6,18,1,15,5,12,30,2.0
112,8,0,2,6,18,1,15,5,12,24,3.0
113,2,0,2,6,18,1,15,5,6,24,4.0
146,8,0,3,3,23,0,15,15,3,29,0.0
147,10,0,3,3,23,0,15,15,6,26,1.0
148,6,0,3,3,23,0,15,15,3,26,2.0
149,10,0,3,3,23,0,15,15,6,26,3.0
150,10,0,3,3,23,0,15,15,6,26,4.0
151,10,0,3,3,23,0,15,15,6,26,5.0
152,10,0,3,3,23,0,15,15,3,29,6.0
153,9,0,3,3,23,0,15,15,6,29,7.0
154,10,0,3,3,23,0,15,15,6,29,8.0
155,7,0,3,3,23,0,15,15,3,29,9.0
156,5,0,3,3,23,0,15,15,3,26,10.0
158,8,0,3,3,23,0,15,15,3,29,12.0
235,0,0,5,6,18,0,15,10,6,24,0.0
236,9,0,5,6,18,0,15,10,6,18,1.0
237,5,0,5,6,18,0,15,10,12,24,2.0
238,6,0,5,6,18,0,15,10,18,30,3.0
239,0,0,5,6,18,0,15,10,6,24,4.0
240,8,0,5,6,18,0,15,10,12,30,5.0
241,7,0,5,6,18,0,15,10,12,30,6.0
242,6,0,5,6,18,0,15,10,12,24,7.0
243,10,0,5,6,18,0,15,10,18,30,8.0
244,7,0,5,6,18,0,15,10,6,30,9.0
276,0,0,6,6,23,0,9,10,6,17,0.0
277,10,0,6,6,23,0,9,10,12,35,1.0
278,0,0,6,6,23,0,9,10,6,23,2.0
279,0,0,6,6,23,0,9,10,12,29,3.0
280,10,0,6,6,23,0,9,10,18,35,4.0
281,6,0,6,6,23,0,9,10,12,17,5.0
282,5,0,6,6,23,0,9,10,12,17,6.0
283,10,0,6,6,23,0,9,10,18,35,7.0
284,10,0,6,6,23,0,9,10,18,35,8.0
285,1,0,6,6,23,0,9,10,6,17,9.0
368,7,0,8,3,18,0,12,15,6,21,0.0
369,7,0,8,3,18,0,12,15,9,24,1.0
370,7,0,8,3,18,0,12,15,3,18,2.0
371,7,0,8,3,18,0,12,15,9,24,3.0
372,7,0,8,3,18,0,12,15,6,24,4.0
373,7,0,8,3,18,0,12,15,9,24,5.0
374,4,0,8,3,18,0,12,15,6,24,6.0
375,7,0,8,3,18,0,12,15,9,24,7.0
376,8,0,8,3,18,0,12,15,9,24,8.0
377,4,0,8,3,18,0,12,15,3,18,9.0
378,7,0,8,3,18,0,12,15,3,21,10.0
379,3,0,8,3,18,0,12,15,3,21,11.0
380,3,0,8,3,18,0,12,15,6,24,12.0
381,5,0,8,3,18,0,12,15,6,24,13.0
382,3,0,8,3,18,0,12,15,6,24,14.0
426,10,0,9,6,23,1,18,5,12,35,0.0
427,10,0,9,6,23,1,18,5,12,29,1.0
428,0,0,9,6,23,1,18,5,6,35,2.0
429,3,0,9,6,23,1,18,5,6,29,3.0
459,1,0,10,3,28,0,9,10,3,28,0.0
460,4,0,10,3,28,0,9,10,3,28,1.0
461,2,0,10,3,28,0,9,10,3,28,2.0
462,3,0,10,3,28,0,9,10,6,31,3.0
463,1,0,10,3,28,0,9,10,6,31,4.0
464,1,0,10,3,28,0,9,10,6,34,5.0
465,0,0,10,3,28,0,9,10,6,34,6.0
466,1,0,10,3,28,0,9,10,3,31,7.0
467,3,0,10,3,28,0,9,10,3,28,8.0
468,2,0,10,3,28,0,9,10,3,31,9.0
542,7,1,1,3,23,0,18,15,3,23,0.0
543,5,1,1,3,23,0,18,15,3,26,1.0
544,6,1,1,3,23,0,18,15,3,26,2.0
545,5,1,1,3,23,0,18,15,6,26,3.0
546,7,1,1,3,23,0,18,15,6,23,4.0
547,5,1,1,3,23,0,18,15,3,23,5.0
549,6,1,1,3,23,0,18,15,3,23,7.0
550,5,1,1,3,23,0,18,15,6,20,8.0
551,7,1,1,3,23,0,18,15,3,23,9.0
552,6,1,1,3,23,0,18,15,6,23,10.0
555,6,1,1,3,23,0,18,15,3,26,13.0
556,5,1,1,3,23,0,18,15,6,20,14.0
599,10,1,2,6,28,1,18,5,18,40,0.0
600,10,1,2,6,28,1,18,5,6,28,1.0
601,6,1,2,6,28,1,18,5,12,34,2.0
602,8,1,2,6,28,1,18,5,12,28,3.0
603,10,1,2,6,28,1,18,5,12,40,4.0
