,correct,subject,block,block_difficulty,block_value_level,block_stimulus_type,block_ntrials_phase1,block_ntrials_phase2,trial_difficulty,trial_value_chosen,trial_number
12,1,0,0,3,23,0,12,15,3,26,0.0
13,1,0,0,3,23,0,12,15,6,29,1.0
14,1,0,0,3,23,0,12,15,3,26,2.0
15,1,0,0,3,23,0,12,15,6,29,3.0
16,1,0,0,3,23,0,12,15,3,23,4.0
17,1,0,0,3,23,0,12,15,6,29,5.0
18,0,0,0,3,23,0,12,15,3,23,6.0
19,1,0,0,3,23,0,12,15,3,29,7.0
20,1,0,0,3,23,0,12,15,6,29,8.0
21,1,0,0,3,23,0,12,15,6,29,9.0
22,0,0,0,3,23,0,12,15,6,20,10.0
23,0,0,0,3,23,0,12,15,6,20,11.0
24,1,0,0,3,23,0,12,15,3,26,12.0
25,1,0,0,3,23,0,12,15,3,23,13.0
26,1,0,0,3,23,0,12,15,6,26,14.0
61,1,0,1,6,28,1,9,5,6,40,0.0
63,1,0,1,6,28,1,9,5,6,34,2.0
64,1,0,1,6,28,1,9,5,6,28,3.0
65,1,0,1,6,28,1,9,5,18,40,4.0
109,1,0,2,6,18,1,15,5,18,30,0.0
110,1,0,2,6,18,1,15,5,6,30,1.0
111,1,0,2,6,18,1,15,5,12,30,2.0
112,1,0,2,6,18,1,15,5,12,24,3.0
113,1,0,2,6,18,1,15,5,6,24,4.0
146,1,0,3,3,23,0,15,15,3,29,0.0
147,1,0,3,3,23,0,15,15,6,26,1.0
148,1,0,3,3,23,0,15,15,3,26,2.0
149,1,0,3,3,23,0,15,15,6,26,3.0
150,1,0,3,3,23,0,15,15,6,26,4.0
151,1,0,3,3,23,0,15,15,6,26,5.0
152,1,0,3,3,23,0,15,15,3,29,6.0
153,1,0,3,3,23,0,15,15,6,29,7.0
154,1,0,3,3,23,0,15,15,6,29,8.0
155,1,0,3,3,23,0,15,15,3,29,9.0
156,1,0,3,3,23,0,15,15,3,26,10.0
158,1,0,3,3,23,0,15,15,3,29,12.0
235,1,0,5,6,18,0,15,10,6,24,0.0
236,1,0,5,6,18,0,15,10,6,18,1.0
237,1,0,5,6,18,0,15,10,12,24,2.0
238,1,0,5,6,18,0,15,10,18,30,3.0
239,1,0,5,6,18,0,15,10,6,24,4.0
240,1,0,5,6,18,0,15,10,12,30,5.0
241,1,0,5,6,18,0,15,10,12,30,6.0
242,1,0,5,6,18,0,15,10,12,24,7.0
243,1,0,5,6,18,0,15,10,18,30,8.0
244,1,0,5,6,18,0,15,10,6,30,9.0
276,0,0,6,6,23,0,9,10,6,17,0.0
277,1,0,6,6,23,0,9,10,12,35,1.0
278,0,0,6,6,23,0,9,10,6,23,2.0
279,1,0,6,6,23,0,9,10,12,29,3.0
280,1,0,6,6,23,0,9,10,18,35,4.0
281,0,0,6,6,23,0,9,10,12,17,5.0
282,0,0,6,6,23,0,9,10,12,17,6.0
283,1,0,6,6,23,0,9,10,18,35,7.0
284,1,0,6,6,23,0,9,10,18,35,8.0
285,0,0,6,6,23,0,9,10,6,17,9.0
368,1,0,8,3,18,0,12,15,6,21,0.0
369,1,0,8,3,18,0,12,15,9,24,1.0
370,1,0,8,3,18,0,12,15,3,18,2.0
371,1,0,8,3,18,0,12,15,9,24,3.0
372,1,0,8,3,18,0,12,15,6,24,4.0
373,1,0,8,3,18,0,12,15,9,24,5.0
374,1,0,8,3,18,0,12,15,6,24,6.0
375,1,0,8,3,18,0,12,15,9,24,7.0
376,1,0,8,3,18,0,12,15,9,24,8.0
377,1,0,8,3,18,0,12,15,3,18,9.0
