,correct,subject,block,block_difficulty,block_value_level,block_stimulus_type,block_ntrials_phase1,block_ntrials_phase2,trial_difficulty,trial_value_chosen,trial_number
0,1,0,0,3,23,0,12,15,9,29,0
1,1,0,0,3,23,0,12,15,3,26,1
2,1,0,0,3,23,0,12,15,6,29,2
3,1,0,0,3,23,0,12,15,3,23,3
4,1,0,0,3,23,0,12,15,3,26,4
6,1,0,0,3,23,0,12,15,3,26,6
8,1,0,0,3,23,0,12,15,6,29,8
9,0,0,0,3,23,0,12,15,3,20,9
10,1,0,0,3,23,0,12,15,6,26,10
29,1,0,0,3,23,0,12,15,6,26,14
30,0,0,0,3,23,0,12,15,3,20,15
32,1,0,0,3,23,0,12,15,9,29,17
33,0,0,0,3,23,0,12,15,3,23,18
34,0,0,0,3,23,0,12,15,3,23,19
36,1,0,0,3,23,0,12,15,3,26,21
37,1,0,0,3,23,0,12,15,6,29,22
39,1,0,0,3,23,0,12,15,9,29,24
41,1,0,0,3,23,0,12,15,6,29,26
47,0,0,1,6,28,1,9,5,12,28,0
48,1,0,1,6,28,1,9,5,12,34,1
49,1,0,1,6,28,1,9,5,18,40,2
50,1,0,1,6,28,1,9,5,12,34,3
52,1,0,1,6,28,1,9,5,6,28,5
53,1,0,1,6,28,1,9,5,18,40,6
55,1,0,1,6,28,1,9,5,6,34,8
73,1,0,1,6,28,1,9,5,12,34,11
74,1,0,1,6,28,1,9,5,6,34,12
75,1,0,1,6,28,1,9,5,12,40,13
78,1,0,1,6,28,1,9,5,6,40,16
79,1,0,1,6,28,1,9,5,12,34,17
80,1,0,1,6,28,1,9,5,18,40,18
82,1,0,1,6,28,1,9,5,18,40,20
84,1,0,1,6,28,1,9,5,6,34,22
85,1,0,1,6,28,1,9,5,6,28,23
86,1,0,1,6,28,1,9,5,6,28,24
88,1,0,1,6,28,1,9,5,12,34,26
94,1,0,2,6,18,1,15,5,6,24,0
96,0,0,2,6,18,1,15,5,12,12,2
97,1,0,2,6,18,1,15,5,18,30,3
99,1,0,2,6,18,1,15,5,12,30,5
100,1,0,2,6,18,1,15,5,6,24,6
101,1,0,2,6,18,1,15,5,12,30,7
104,1,0,2,6,18,1,15,5,18,30,10
105,1,0,2,6,18,1,15,5,12,30,11
106,1,0,2,6,18,1,15,5,6,18,12
116,1,0,2,6,18,1,15,5,6,24,17
117,1,0,2,6,18,1,15,5,6,30,18
118,1,0,2,6,18,1,15,5,6,18,19
120,1,0,2,6,18,1,15,5,6,18,21
122,1,0,2,6,18,1,15,5,18,30,23
124,1,0,2,6,18,1,15,5,6,30,25
125,1,0,2,6,18,1,15,5,6,30,26
131,0,0,3,3,23,0,15,15,6,23,0
132,0,0,3,3,23,0,15,15,3,26,1
133,0,0,3,3,23,0,15,15,6,20,2
134,1,0,3,3,23,0,15,15,6,26,3
135,1,0,3,3,23,0,15,15,3,26,4
137,1,0,3,3,23,0,15,15,3,23,6
139,1,0,3,3,23,0,15,15,6,26,8
140,0,0,3,3,23,0,15,15,3,26,9
141,0,0,3,3,23,0,15,15,3,26,10
143,1,0,3,3,23,0,15,15,3,26,12
167,1,0,3,3,23,0,15,15,3,29,16
169,1,0,3,3,23,0,15,15,6,26,18
171,1,0,3,3,23,0,15,15,3,26,20
172,1,0,3,3,23,0,15,15,6,29,21
173,1,0,3,3,23,0,15,15,6,29,22
175,1,0,3,3,23,0,15,15,6,26,24
177,1,0,3,3,23,0,15,15,3,23,26
183,1,0,4,3,28,1,18,0,3,28,0
184,0,0,4,3,28,1,18,0,3,31,1
185,1,0,4,3,28,1,18,0,3,34,2
186,1,0,4,3,28,1,18,0,6,31,3
187,1,0,4,3,28,1,18,0,3,31,4
189,1,0,4,3,28,1,18,0,3,31,6
191,1,0,4,3,28,1,18,0,3,34,8
192,1,0,4,3,28,1,18,0,6,31,9
194,1,0,4,3,28,1,18,0,3,28,11
195,0,0,4,3,28,1,18,0,3,31,12
196,1,0,4,3,28,1,18,0,3,28,13
198,0,0,4,3,28,1,18,0,3,31,15
199,0,0,4,3,28,1,18,0,3,31,16
202,1,0,4,3,28,1,18,0,6,31,19
205,1,0,4,3,28,1,18,0,3,31,22
206,1,0,4,3,28,1,18,0,6,34,23
207,1,0,4,3,28,1,18,0,6,31,24
215,0,0,5,6,18,0,15,10,12,12,0
216,1,0,5,6,18,0,15,10,18,30,1
217,1,0,5,6,18,0,15,10,12,30,2
218,0,0,5,6,18,0,15,10,12,18,3
219,1,0,5,6,18,0,15,10,6,30,4
221,0,0,5,6,18,0,15,10,12,18,6
223,1,0,5,6,18,0,15,10,6,30,8
224,1,0,5,6,18,0,15,10,18,30,9
225,1,0,5,6,18,0,15,10,6,18,10
227,1,0,5,6,18,0,15,10,12,30,12
228,1,0,5,6,18,0,15,10,18,30,13
252,1,0,5,6,18,0,15,10,6,24,17
253,1,0,5,6,18,0,15,10,12,30,18
255,0,0,5,6,18,0,15,10,6,18,20
256,0,0,5,6,18,0,15,10,6,12,21
257,1,0,5,6,18,0,15,10,12,24,22
260,1,0,5,6,18,0,15,10,6,30,25
261,1,0,5,6,18,0,15,10,12,30,26
267,0,0,6,6,23,0,9,10,6,17,0
268,1,0,6,6,23,0,9,10,12,29,1
269,0,0,6,6,23,0,9,10,6,17,2
270,1,0,6,6,23,0,9,10,6,35,3
272,1,0,6,6,23,0,9,10,18,35,5
275,1,0,6,6,23,0,9,10,6,35,8
292,1,0,6,6,23,0,9,10,12,29,10
294,1,0,6,6,23,0,9,10,6,29,12
295,1,0,6,6,23,0,9,10,12,35,13
298,1,0,6,6,23,0,9,10,12,29,16
299,1,0,6,6,23,0,9,10,18,35,17
300,1,0,6,6,23,0,9,10,18,35,18
301,0,0,6,6,23,0,9,10,6,17,19
304,1,0,6,6,23,0,9,10,18,35,22
305,1,0,6,6,23,0,9,10,6,23,23
307,1,0,6,6,23,0,9,10,6,35,25
308,1,0,6,6,23,0,9,10,12,29,26
314,1,0,7,3,28,1,12,0,3,34,0
315,1,0,7,3,28,1,12,0,3,28,1
316,0,0,7,3,28,1,12,0,3,28,2
317,0,0,7,3,28,1,12,0,3,25,3
318,0,0,7,3,28,1,12,0,6,28,4
322,0,0,7,3,28,1,12,0,3,25,8
323,0,0,7,3,28,1,12,0,6,28,9
332,0,0,7,3,28,1,12,0,3,25,13
334,1,0,7,3,28,1,12,0,3,28,15
336,0,0,7,3,28,1,12,0,3,31,17
337,1,0,7,3,28,1,12,0,6,34,18
338,1,0,7,3,28,1,12,0,6,34,19
