,Estimate,Std. Error,z value,Pr(>|z|),CI_1,CI_2
(Intercept),2.081645748,0.973561654,2.138175575,0.032502496,1.19,54.04
block_difficulty,-0.10860534,0.079559453,-1.365084041,0.172226637,0.77,1.05
block_value_level,-0.051616747,0.031113245,-1.65899596,0.097116606,0.89,1.01
block_stimulus_type,0.14189123,0.211868815,0.669712674,0.503040971,0.76,1.75
block_ntrials_phase1,-0.015223235,0.031107215,-0.489379561,0.624573003,0.93,1.05
block_ntrials_phase2,-0.003473004,0.045823267,-0.075791277,0.939585156,0.91,1.09
trial_difficulty,0.073091776,0.030146461,2.424555741,0.01532713,1.01,1.14
trial_value_chosen,0.081497086,0.019668375,4.143559735,3.42E-05,1.04,1.13
trial_number,-0.042698397,0.029528677,-1.445997642,0.148177863,0.9,1.02
trial_pair_repeat_nr,0.482993351,0.260757778,1.852268245,0.063987313,0.97,2.7
