"","Parameter","Coefficient","SE","CI","CI_low","CI_high","z","df_error","p","Effects","Group"
"1","(Intercept)",2.08164574808607,0.973561653503499,0.95,0.173499970489949,3.98979152568219,2.13817557480307,Inf,0.0325024959812564,"fixed",""
"2","block_difficulty",-0.108605340058584,0.0795594533606353,0.95,-0.264539003275124,0.0473283231579548,-1.36508404056382,Inf,0.172226637493153,"fixed",""
"3","block_value_level",-0.0516167473645541,0.0311132447545505,0.95,-0.112597586525653,0.00936409179654465,-1.65899596045844,Inf,0.0971166063005958,"fixed",""
"4","block_stimulus_type",0.141891230476534,0.211868814799391,0.95,-0.273364015977459,0.557146476930526,0.669712673905711,Inf,0.503040970813652,"fixed",""
"5","block_ntrials_phase1",-0.0152232351497006,0.0311072148452457,0.95,-0.0761922559057319,0.0457457856063307,-0.489379561154356,Inf,0.624573003427881,"fixed",""
"6","block_ntrials_phase2",-0.00347300391333656,0.045823266805773,0.95,-0.0932849565066215,0.0863389486799483,-0.0757912771269074,Inf,0.939585156008966,"fixed",""
"7","trial_difficulty",0.0730917755833,0.0301464612014144,0.95,0.0140057973671937,0.132177753799406,2.42455574121817,Inf,0.0153271301616957,"fixed",""
"8","trial_value_chosen",0.0814970861386918,0.0196683748623406,0.95,0.0429477797740713,0.120046392503312,4.14355973531579,Inf,3.4195594481898e-05,"fixed",""
"9","trial_number",-0.0426983971501895,0.029528676884503,0.95,-0.100573540354936,0.0151767460545567,-1.44599764212931,Inf,0.148177863154541,"fixed",""
"10","trial_pair_repeat_nr",0.482993350911703,0.260757777544065,0.95,-0.0280825017633713,0.994069203586778,1.85226824473177,Inf,0.0639873132918436,"fixed",""
"11","SD (Intercept)",0.785047227434342,NA,0.95,NA,NA,NA,NA,NA,"random","block:subject"
"12","SD (Intercept)",0.718032953434704,NA,0.95,NA,NA,NA,NA,NA,"random","subject"
"13","SD (Observations)",1,NA,0.95,NA,NA,NA,NA,NA,"random","Residual"
