"","Parameter","Coefficient","SE","CI","CI_low","CI_high","z","df_error","p","Effects","Group"
"1","(Intercept)",-0.359203706005763,0.464207564368339,0.95,-1.26903381351877,0.55062640150724,-0.773799768848106,Inf,0.439049209239326,"fixed",""
"2","block_difficulty",-0.0321064543310513,0.0460049522399176,0.95,-0.122274503831775,0.0580615951696725,-0.697891265349323,Inf,0.48524519728889,"fixed",""
"3","block_value_level",-0.591907192597147,0.0234777199892982,0.95,-0.637922678215287,-0.545891706979006,-25.211442715347,Inf,3.00066721842179e-140,"fixed",""
"4","block_stimulus_type",0.221391974533266,0.119187488997713,0.95,-0.0122112113100152,0.454995160376547,1.8575101832837,Inf,0.0632386037564588,"fixed",""
"5","block_ntrials_phase1",0.0183855567273629,0.0173616469685727,0.95,-0.0156426460433385,0.0524137594980643,1.05897538180817,Inf,0.289610991520579,"fixed",""
"6","block_ntrials_phase2",0.0266560965199314,0.0164585291103848,0.95,-0.00560202777492694,0.0589142208147897,1.61959166224108,Inf,0.105320021836828,"fixed",""
"7","trial_difficulty",0.0222165527212779,0.0225657263811181,0.95,-0.0220114582706989,0.0664445637132547,0.984526371810819,Inf,0.324856771409066,"fixed",""
"8","trial_value_chosen",0.571635402778447,0.0187167596230475,0.95,0.53495122800998,0.608319577546913,30.5413658288663,Inf,7.36315221982006e-205,"fixed",""
"9","trial_number",-0.00460105028014572,0.0131042697005096,0.95,-0.030284946936844,0.0210828463765526,-0.351110774220924,Inf,0.725505245233707,"fixed",""
"10","SD (Intercept)",0.759236599236775,NA,0.95,NA,NA,NA,NA,NA,"random","block:subject"
"11","SD (Intercept)",0.344985893738178,NA,0.95,NA,NA,NA,NA,NA,"random","subject"
"12","SD (Observations)",1,NA,0.95,NA,NA,NA,NA,NA,"random","Residual"
